ADMM_START rows=743 columns=12248 nnz=5605870 rounds=5 max_iterations=2000 rho=100000000.0
ADMM_ITER round=1/4 iteration=725/2000 objective=8.0406126091653587e-06 r=2.24825e-09/1.10671e-08 s=0.148616/2.14038e-06 projection_inf=7.67653e-19 support=937/12248
ADMM_ITER round=1/4 iteration=750/2000 objective=8.0422834858466172e-06 r=2.09259e-09/1.10671e-08 s=0.155528/2.15533e-06 projection_inf=7.45296e-19 support=943/12248
ADMM_ITER round=1/4 iteration=775/2000 objective=8.0146937237708024e-06 r=1.99848e-09/1.10671e-08 s=0.150548/2.17254e-06 projection_inf=7.70334e-19 support=947/12248
ADMM_ITER round=1/4 iteration=800/2000 objective=7.9929225194100218e-06 r=1.96325e-09/1.10671e-08 s=0.141316/2.19393e-06 projection_inf=7.29205e-19 support=948/12248
ADMM_ITER round=1/4 iteration=825/2000 objective=8.0167883484537163e-06 r=1.98335e-09/1.10671e-08 s=0.125748/2.2147e-06 projection_inf=7.81175e-19 support=944/12248
ADMM_ITER round=1/4 iteration=850/2000 objective=8.0230405125463723e-06 r=1.86349e-09/1.10671e-08 s=0.129599/2.23417e-06 projection_inf=7.55606e-19 support=948/12248
ADMM_ITER round=1/4 iteration=875/2000 objective=8.0398181843348215e-06 r=1.83652e-09/1.10671e-08 s=0.118662/2.25301e-06 projection_inf=7.79857e-19 support=947/12248
ADMM_ITER round=1/4 iteration=900/2000 objective=8.0501250099878477e-06 r=1.84226e-09/1.10671e-08 s=0.105909/2.27012e-06 projection_inf=7.59968e-19 support=947/12248
ADMM_ITER round=1/4 iteration=925/2000 objective=8.0269592683137516e-06 r=1.66942e-09/1.10671e-08 s=0.121287/2.28872e-06 projection_inf=7.40144e-19 support=952/12248
ADMM_ITER round=1/4 iteration=950/2000 objective=8.010560704733748e-06 r=1.63981e-09/1.10671e-08 s=0.114974/2.3102e-06 projection_inf=7.66725e-19 support=950/12248
