timestamp_utc,gpu_used_mib,gpu_total_mib,gpu_util_percent,process_rss_kib
2026/09/02 23:11:10.180, 46381, 95830, 0,12834236
2026/09/02 23:11:25.259, 46381, 95830, 0,8830504
2026/09/02 23:11:40.330, 46381, 95830, 0,14592524
2026/09/02 23:11:55.403, 46381, 95830, 0,14917468
2026/09/02 23:12:10.484, 46381, 95830, 0,9121168
2026/09/02 23:12:25.564, 46381, 95830, 0,12188972
2026/09/02 23:12:40.639, 46381, 95830, 0,14371936
2026/09/02 23:12:55.710, 46381, 95830, 0,8859992
2026/09/02 23:13:10.787, 46381, 95830, 0,12754180
2026/09/02 23:13:25.885, 46381, 95830, 0,9030172
2026/09/02 23:13:40.961, 46381, 95830, 0,12802252
2026/09/02 23:13:56.034, 46381, 95830, 0,9175104
2026/09/02 23:14:11.126, 46381, 95830, 0,17818292
2026/09/02 23:14:26.199, 46381, 95830, 0,8876692
2026/09/02 23:14:41.272, 46381, 95830, 0,14742840
2026/09/02 23:14:56.346, 46381, 95830, 0,9054780
2026/09/02 23:15:11.437, 46381, 95830, 0,15010468
2026/09/02 23:15:26.512, 46381, 95830, 0,9194472
2026/09/02 23:15:41.585, 46381, 95830, 0,12365156
2026/09/02 23:15:56.657, 46381, 95830, 0,8844216
2026/09/02 23:16:11.729, 46381, 95830, 0,14048956
2026/09/02 23:16:26.829, 46381, 95830, 0,14746200
2026/09/02 23:16:41.899, 46381, 95830, 0,9101148
2026/09/02 23:16:56.976, 46381, 95830, 0,9863484
2026/09/02 23:17:12.045, 46381, 95830, 0,8742608
2026/09/02 23:17:27.137, 46381, 95830, 0,14036904
2026/09/02 23:17:42.206, 46381, 95830, 0,8922600
2026/09/02 23:17:57.276, 46381, 95830, 0,14938884
2026/09/02 23:18:12.336, 46381, 95830, 0,13069440
2026/09/02 23:18:27.413, 46381, 95830, 0,9221276
2026/09/02 23:18:42.481, 46381, 95830, 0,14781088
2026/09/02 23:18:57.550, 46381, 95830, 0,8830612
2026/09/02 23:19:12.621, 46381, 95830, 0,8893160
2026/09/02 23:19:27.734, 46381, 95830, 0,17806552
2026/09/02 23:19:42.835, 46381, 95830, 0,15108060
2026/09/02 23:19:57.908, 46381, 95830, 0,9120688
2026/09/02 23:20:12.979, 46381, 95830, 0,16287332
2026/09/02 23:20:28.051, 46381, 95830, 0,8773060
2026/09/02 23:20:43.118, 46381, 95830, 0,13532768
2026/09/02 23:20:58.190, 46381, 95830, 0,8900092
2026/09/02 23:21:13.264, 46381, 95830, 0,17177132
2026/09/02 23:21:28.330, 46381, 95830, 0,12990896
2026/09/02 23:21:43.394, 46381, 95830, 32,13795780
2026/09/02 23:21:58.486, 46381, 95830, 0,8747972
2026/09/02 23:22:13.558, 46381, 95830, 0,14181152
2026/09/02 23:22:28.629, 46381, 95830, 0,14513784
2026/09/02 23:22:43.702, 46381, 95830, 0,9026428
2026/09/02 23:22:58.761, 46381, 95830, 0,16112204
2026/09/02 23:23:13.883, 46381, 95830, 66,9200572
2026/09/02 23:23:28.954, 46381, 95830, 0,18864676
2026/09/02 23:23:44.070, 46381, 95830, 0,8834288
2026/09/02 23:23:59.157, 46381, 95830, 0,18230904
2026/09/02 23:24:14.264, 46381, 95830, 0,9073684
2026/09/02 23:24:29.360, 46381, 95830, 0,13188908
2026/09/02 23:24:44.477, 46381, 95830, 0,14370332
2026/09/02 23:24:59.567, 46381, 95830, 0,13295044
2026/09/02 23:25:14.637, 46381, 95830, 0,8882004
2026/09/02 23:25:29.711, 46381, 95830, 0,16709612
2026/09/02 23:25:44.788, 46381, 95830, 0,9517320
2026/09/02 23:25:59.858, 46381, 95830, 0,9146564
2026/09/02 23:26:14.931, 46381, 95830, 0,9167908
2026/09/02 23:26:30.023, 46381, 95830, 0,16579820
2026/09/02 23:26:45.093, 46381, 95830, 0,15614500
2026/09/02 23:27:00.162, 46381, 95830, 0,8944408
2026/09/02 23:27:15.231, 46381, 95830, 0,16409004
2026/09/02 23:27:30.307, 46381, 95830, 0,9141068
2026/09/02 23:27:45.384, 46381, 95830, 29,9176424
2026/09/02 23:28:00.458, 46381, 95830, 0,15625304
2026/09/02 23:28:15.536, 46381, 95830, 0,12688696
2026/09/02 23:28:30.611, 46381, 95830, 0,8936348
2026/09/02 23:28:45.682, 46381, 95830, 0,14799308
2026/09/02 23:29:00.779, 46381, 95830, 0,9164776
2026/09/02 23:29:15.852, 46381, 95830, 0,9301948
2026/09/02 23:29:30.917, 46381, 95830, 0,15386256
2026/09/02 23:29:45.988, 46381, 95830, 8,15231132
2026/09/02 23:30:01.059, 46381, 95830, 0,8922620
2026/09/02 23:30:16.161, 46381, 95830, 0,15417232
2026/09/02 23:30:31.276, 46381, 95830, 0,9127824
2026/09/02 23:30:46.346, 46381, 95830, 0,11921244
2026/09/02 23:31:01.422, 46381, 95830, 0,15684084
2026/09/02 23:31:16.524, 46381, 95830, 0,16521004
2026/09/02 23:31:31.596, 46381, 95830, 0,8985936
2026/09/02 23:31:46.665, 46381, 95830, 0,18474220
2026/09/02 23:32:01.780, 46381, 95830, 0,14222436
2026/09/02 23:32:16.859, 46381, 95830, 0,9127296
2026/09/02 23:32:31.925, 46381, 95830, 0,15031340
2026/09/02 23:32:46.994, 46381, 95830, 0,8795776
2026/09/02 23:33:02.058, 46381, 95830, 0,17692068
2026/09/02 23:33:17.127, 46381, 95830, 0,10310388
2026/09/02 23:33:32.176, 46381, 95830, 35,9060844
2026/09/02 23:33:47.250, 46383, 95830, 0,19105724
2026/09/02 23:34:02.317, 46383, 95830, 0,16045712
2026/09/02 23:34:17.386, 46383, 95830, 0,13008744
2026/09/02 23:34:32.465, 46383, 95830, 0,8939536
2026/09/02 23:34:47.564, 46383, 95830, 0,18839812
2026/09/02 23:35:02.674, 46383, 95830, 0,15211516
2026/09/02 23:35:17.772, 46383, 95830, 0,9095688
2026/09/02 23:35:32.843, 46383, 95830, 3,8685128
2026/09/02 23:35:47.953, 46383, 95830, 0,16051816
2026/09/02 23:36:03.060, 46383, 95830, 0,10352264
2026/09/02 23:36:18.148, 46383, 95830, 0,10239300
2026/09/02 23:36:33.238, 46383, 95830, 0,14734692
2026/09/02 23:36:48.310, 46383, 95830, 0,9096772
2026/09/02 23:37:03.388, 46383, 95830, 0,9182576
2026/09/02 23:37:18.453, 46383, 95830, 0,16948668
2026/09/02 23:37:33.522, 46383, 95830, 0,8815140
2026/09/02 23:37:48.628, 46383, 95830, 0,15943088
2026/09/02 23:38:03.692, 46383, 95830, 0,11894632
2026/09/02 23:38:18.779, 46383, 95830, 0,9162500
2026/09/02 23:38:33.854, 46383, 95830, 0,9203924
2026/09/02 23:38:48.927, 46383, 95830, 0,14153748
2026/09/02 23:39:04.003, 46383, 95830, 0,8889372
2026/09/02 23:39:19.078, 46383, 95830, 0,12080328
2026/09/02 23:39:34.144, 46383, 95830, 0,9264068
2026/09/02 23:39:49.215, 46383, 95830, 0,9209948
2026/09/02 23:40:04.299, 46383, 95830, 0,8694932
2026/09/02 23:40:19.379, 46383, 95830, 0,16095928
2026/09/02 23:40:34.474, 46383, 95830, 0,11482880
2026/09/02 23:40:49.543, 46383, 95830, 0,9010412
2026/09/02 23:41:04.633, 46383, 95830, 0,16288516
2026/09/02 23:41:19.740, 46383, 95830, 0,14424048
2026/09/02 23:41:34.837, 46383, 95830, 0,13646816
